ARCHV_OFF,DAT_EXPIRA_OFF,DESC_OFF,ID_RECRUTEUR,MISSION_OFF,NOM_AVG_OFF,NOM_MC_OFF,NOM_OFF,NOM_TE_OFF,PHOTO_OFF,SAL_MIN_OFF,SEXE_CAND_OFF,__v,_id,createdAt,updatedAt
1,2022-06-03,"Développement et la validation de modules algorithmiques
Adaptation des modules algorithmiques existants 
Wrapping des composants algorithmiques C++ en Python 
Développement sous Python pour les aspects simulation de données
Conception et développement de chaînes de tests automatiques en Python
Intégration de ces tests dans la chaîne d'intégration continue
Optimisation et parallélisation de code pour adaptation sur cluster HPC
Rédaction de la documentation",628ac9a5cc3e7b3b683203c8,"Expérience significative d’au moins 3 ans Python et C++ 
Connaissances techniques indispensables : C++, Python
Anglais Courant Impératif 
Appétence pour le secteur Spatiale, et ou le traitement d’image
goût de travail en équipe",/,/Python/ML/BI,Ingénieur Python,/CDD,https://cdn.filestackcontent.com/a0UH2lRQQ8WTsWjlI5Aj,2000,Autre,0,628b73f7cc3e7b3b68320436,2022-05-23T11:45:59.599Z,2022-05-23T11:46:47.671Z
0,2022-06-03,"Développement et la validation de modules algorithmiques
Adaptation des modules algorithmiques existants 
Wrapping des composants algorithmiques C++ en Python 
Développement sous Python pour les aspects simulation de données
Conception et développement de chaînes de tests automatiques en Python
Intégration de ces tests dans la chaîne d'intégration continue
Optimisation et parallélisation de code pour adaptation sur cluster HPC
Rédaction de la documentation",628ac9a5cc3e7b3b683203c8,"Expérience significative d’au moins 3 ans Python et C++ 
Connaissances techniques indispensables : C++, Python
Anglais Courant Impératif 
Appétence pour le secteur Spatiale, et ou le traitement d’image
goût de travail en équipe",//,/Python/ML/BI,Ingénieur Python,/CDD,https://cdn.filestackcontent.com/a0UH2lRQQ8WTsWjlI5Aj,2000,Autre,0,628b7446cc3e7b3b6832043f,2022-05-23T11:47:18.887Z,2022-05-23T11:47:18.887Z
0,2022-06-03,"Vous souhaitez booster votre carrière dans un environnement motivant et challengeant avec les technologies les plus récentes? Alors rejoignez l’équipe Chaaben Technology Group, la filiale tunisienne de la société allemande Chaaben Technology Group spécialisée en Cyber Security, Digitalisation & Data Science.
Dans le cadre de sa forte croissance, Chaaben Technology Group recrute un développeur Python Flask Expérimenté, talentueux et ambitieux, qui serait motivé pour rejoindre une société en forte croissance dans l’univers des Big-Data & Cyber Sécurité.",628ac9a5cc3e7b3b683203c8,"Le développement : Animation et participation aux choix techniques, contrôle de l’application de la ligne directrice, des choix de conception et des méthodes définies par l’équipe, contrôle de la progression des développements,
Le choix ou cadrage de la solution technique,
La mise en œuvre des standards et bonnes pratiques,
L’utilisation des outils d’intégration/déploiement continue,
L’optimisation de code & aide à l’amélioration de performance,
La réalisation des tests unitaires,
La rédaction de la documentation technique.

Vous pourrez être amené à avoir un rôle de référent technique sur les projets et participer aux choix d’architectures.
Vous rejoindrez l'équipe en charge de la conception technique, de la réalisation des composants, des tests unitaires et des tests chaînés des composants fabriqués.
Vous accompagnez le(s) projet(s) sur les phases techniques tout au long de leur cycle de vie dans un environnement AGILE (SCRUM), en appliquant les normes & standards en vigueur.
Votre périmètre d’intervention est multi domaines et multi projets",/ticket resto/,/flask/python/info/web,Python Flask Developer,/CDD,https://cdn.filestackcontent.com/akTr7sTUT8aJXjMWs9L2,900,Femme,0,628b76b0cc3e7b3b68320449,2022-05-23T11:57:36.339Z,2022-05-23T11:57:36.339Z
1,2022-06-04,"Nous souhaitons l’intégrer en tant que Ingénieur Python et Réseau pour contribuer à la mise en place de notre nouvelle gamme d’outils, de produits et d’applications que nous offrons à nos clients. Ce qui va leur permettre de profiter pleinement de leur réseau WIFI. Tu pourras ainsi ",628ac9a5cc3e7b3b683203c8,"Pour assumer vos missions de manière autonome : vous êtes idéalement diplômé d’une école d’ingénierie et/ou informatique et vous disposez d’une première expérience réussie en réseaux et développement.

Maîtrise de Python (Django)
Bonne connaissance du Réseau (routage, pare-feu, protocoles) et de la configuration sous Linux (iproute2, tc, iptables, netlink)
Bonnes notions de Linux / Debian : sysadmin, packaging, bonnes pratiques, compilation noyau, bases de l’embarqué",/equipe/,/Python/développement/reseau,Développeur Python Réseaux ,/CDD,https://cdn.filestackcontent.com/VfIswLFESVyn5amyj6WA,800,Autre,0,628b806dcc3e7b3b68320453,2022-05-23T12:39:09.820Z,2022-05-23T12:39:55.054Z
0,2022-06-04,"Nous souhaitons l’intégrer en tant que Ingénieur Python et Réseau pour contribuer à la mise en place de notre nouvelle gamme d’outils, de produits et d’applications que nous offrons à nos clients. Ce qui va leur permettre de profiter pleinement de leur réseau WIFI. Tu pourras ainsi ",628ac9a5cc3e7b3b683203c8,"Pour assumer vos missions de manière autonome : vous êtes idéalement diplômé d’une école d’ingénierie et/ou informatique et vous disposez d’une première expérience réussie en réseaux et développement.

Maîtrise de Python (Django)
Bonne connaissance du Réseau (routage, pare-feu, protocoles) et de la configuration sous Linux (iproute2, tc, iptables, netlink)
Bonnes notions de Linux / Debian : sysadmin, packaging, bonnes pratiques, compilation noyau, bases de l’embarqué",/equipe//,/Python/développement/reseau,Développeur Python Réseaux ,/CDD,https://cdn.filestackcontent.com/VfIswLFESVyn5amyj6WA,800,Autre,0,628b80efcc3e7b3b6832045b,2022-05-23T12:41:19.807Z,2022-05-23T12:41:19.807Z
0,2022-06-04,"Chez Chaaben Technology Group, l’équipe Tech est responsable du développement de nouvelles fonctionnalités et du bon fonctionnement de l’application Oncrawl. Elle compte des profils forts en sciences des données, infrastructures Cloud, BigData, Machine Learning, analyse sémantique, et python.",628ac9a5cc3e7b3b683203c8,"De l’évolution, du suivi et de la maintenance des solutions existantes dans le respect des processus en place
Du développement des nouvelles fonctionnalités et de l’intégration des applications métier
Construire des intégrations avec des API tierces, des connecteurs et des services externes : par ex. Stripe, Intercom, CRM Saas, …;
De la gestion de la qualité du code et des tests
De la participation à l’analyse du besoin au travers d’ateliers fonctionnels et/ou techniques
De la maintenance corrective et l’évolution continue
Python3, MongoDB
Stripe, Intercom, CRM Saas
API REST Python Flask framework",/Télétravail partiel/Vélos en libre service/,/Python/Info/développement/big data,Développeur Python Senior,/CDD/CVP,https://cdn.filestackcontent.com/5x6xZGJQZuqhut0y6idM,4000,Autre,0,628b850bcc3e7b3b68320465,2022-05-23T12:58:51.659Z,2022-05-23T12:58:51.659Z
0,2022-06-01,"Dans le cadre du déploiement à grande échelle du Big Data (python) chez un de nos clients, acteur majeur de l’assurance, vous intégrerez une équipe mettant en place des projets utilisant les technologies Big Data (python).",628ac9a5cc3e7b3b683203c8,"Comprendre et analyser fonctionnellement et techniquement l’environnement métier (python ).
Votre plus grande qualité ? Vous avez des doigts de fée !
Vous êtes un virtuose du codage en python.
Vous n’avez pas peur de prendre des risques (et oui une petite morsure ça peut arriver !)
Vos codes sont aussi beaux, rigoureux et concis que l’est votre meilleur ami reptilien.",/carte resto /,/Info/Python/développement,Développeur Python Junior,/CVP,https://cdn.filestackcontent.com/8P61ZHBhTWme98U0WnfK,2500,Autre,0,628b88a0cc3e7b3b6832046f,2022-05-23T13:14:08.178Z,2022-05-23T13:14:08.178Z
0,2022-06-01,"Rattaché directement à l’un des 2 co-fondateur, tu participeras au développement la partie back de la boite à outil « cloudeasier » de bout en bout :
 Participation à la définition et à la priorisation des user story
 Développement des fonctionnalités et tests unitaires associés avec python
Réalisation des tests
Livraison sur les différents environnements
Maintenance et évolution du code existant et à venir
Réalisation de script dans le cadre de mission d’audit / consulting pour client final
Le type de traitements
Traitement de données volumineuses en batch
Nettoyage et restructuration des données
Analyses statistiques et études de corrélations avec python
Mise en place et calibration de modèle de Machine Learning avec python
Construction de solution de Dataviz",628baff7cc3e7b3b6832047a," Tu aimes la Tech et le Cloud et python
Tu aimes les chiffres. Parler d’argent n’est pas un tabou
Orienté résultats tu aimes la relation client
Tu souhaites connaitre l’adrénaline de la naissance d’une startup
Premiere experience en entreprise dans le developpement d’application Python
L’anglais est un plus
L’utilisation des API AWS, Azure ou GCP sont un plus
Autonome, Force de proposition
Dynamique, efficace, orienté résultat",/ticket resto/,/Python/info/informatique,Developpeur Python ,/CDD,https://cdn.filestackcontent.com/Vlg6qvoQCaPcS6ztXEwV,2500,Autre,0,628bbb86cc3e7b3b68320482,2022-05-23T16:51:18.333Z,2022-05-23T16:51:18.333Z
0,2022-05-30,"Le Développeur backend Python est responsable du codage et du test des paramètres et fonctionnalités du backend esChecker. Il participe à la conception du produit au sein d'une équipe pluridisciplinaire.
Il/elle exécute le développement du programme et planifie les tâches pour s'assurer qu'elles sont livrées en temps voulu. Il/elle gère les demandes de fusion liées à Python / Dev-Ops sur ses composants afin d'assurer une haute qualité de code. Il aide l'équipe dans sa mission en partageant son expérience et ses connaissances. Il contribue à la revue par les pairs et à la conception technique.",628baff7cc3e7b3b6832047a,"Exécuter la roadmap logicielle sur son périmètre en utilisant la méthodologie agile.
S'impliquer dans les tâches de développement livrées par l'équipe pour s'assurer que le code est propre, efficace, sécurisé et testé.
S'assurer que l'avancement des travaux est visible dans les outils de l'équipe
Fournir des méthodes et des outils de travail pour maximiser les tests unitaires
Assurer le suivi de la bonne livraison des fonctionnalités et des correctifs
Assurer la cohérence technique et la veille technologique sur la partie Python
Travailler avec le responsable de l'équipe de développement logiciel pour définir et appliquer la feuille de route logicielle.
Assurer la cohérence avec les objectifs stratégiques et business d'eShard
Connaissance approfondie et expérience du développement de logiciels en Python
Expérience solide en Python, au moins 3 ans
Expérience des méthodologies de développement agiles
Habitué à travailler avec l'intégration continue
Focalisé sur la qualité et habitué aux tests automatiques.",/,/python /Backend/développent ,Développeur/se Backend (Python) ,/CVP,https://cdn.filestackcontent.com/L1CGtE9RbyWEy0BfEn9A,2500,Autre,0,628bc8e8cc3e7b3b6832048d,2022-05-23T17:48:24.097Z,2022-05-23T17:48:24.097Z
0,2022-05-31,"Notre base de code principale est écrite en Python 3.7+
Flask comme notre framework Python (avec Connexion pour validation)/ AioHttp pour async/ FastApi occasionnellement
Les applications sont créées sous forme d'images docker, orchestrées par Kubernetes et déployées sur GCP
Schéma OpenAPIv3 première conception d'API
Base de données PostgreSQL avec modèles SQLAlchemy
Tâches Celery pour les tâches asynchrones et périodiques
Outils de qualité de code haut de gamme - Black, Pylint, SonarQube et Mypy
Slack en tant qu'outil de communication principal - un riche ensemble d'intégrations Slack pour promouvoir la flexibilité
Datadog pour les métriques, les journaux et les alertes des applications en temps réel. Sentry pour le suivi des erreurs - tous connectés à PagerDuty pour les incidents de gravité élevée",628baff7cc3e7b3b6832047a,"Concevoir, développer, intégrer et déployer des logiciels en python de haute qualité alignés sur les besoins des utilisateurs et les objectifs commerciaux 
trouver un équilibre entre les besoins commerciaux et l'excellence technique
Rédiger et réviser le code python
contribuant à la principale génération de revenus de l'entreprise - en utilisant les meilleures pratiques
Identifier, hiérarchiser et exécuter les tâches dans le cycle de vie du développement logiciel en python
S'approprier le domaine/service traversant plusieurs équipes/services architecture saine, tests, surveillance et documentation
Diriger et encadrer des collègues moins expérimentés
Promouvoir et soutenir activement l'approche d'apprentissage continu au sein de l'équipe et du service, en démontrant une attitude positive
Collaborer avec les équipes internes et les fournisseurs pour corriger et améliorer les produits",/ticket resto/,/big data/flask/Python/info,Python Engineer for Ancillaries Tribe,/CDI/CVP,https://cdn.filestackcontent.com/cW9lSKNVR06lxwEXVt6P,800,Femme,0,628c0588cc3e7b3b68320495,2022-05-23T22:07:04.983Z,2022-05-23T22:07:04.983Z
0,2022-06-01,"Paiements de nos clients, paiements aux compagnies aériennes et aux agences de voyages, prévention des comportements frauduleux, tout ce que vous pouvez imaginer à ce sujet, nous sommes impliqués. Pourquoi est-ce amusant ? Imaginez que nous voulions permettre aux clients du monde entier d'acheter des billets d'avion, en toute simplicité, en utilisant tous les modes de paiement disponibles dans différents pays, à moindre coût, avec rapidité, fiabilité, sécurité… Nous intégrons des passerelles de paiement, des moyens de paiement modernes comme Revolut, des systèmes de prévention de la fraude, nous essayons d'inventer un routage intelligent mécanisme entre toutes ces options. Nous sommes passionnés par la pile technologique moderne actuellement basée sur Python 3.6–3.9, nous nous efforçons de CI/CD, nous nous efforçons de transformer une architecture système (déjà) complexe en quelque chose que nous pouvons simplement maintenir et raisonner. Nous n'appliquons pas seulement des compétences de développement, nous devons analyser les options, comprendre les difficultés des processus de paiement, comprendre les risques de sécurité, parler à divers fournisseurs de services tiers, collaborer étroitement avec nos spécialistes FinTech bien-aimés qui en savent tellement sur le monde des paiements, nous devons surveiller de près et exploiter nos systèmes, notre travail est difficile ",628baff7cc3e7b3b6832047a,"Écrivez du code stable, maintenable et bien testé en python (faites-nous confiance, il faut beaucoup plus de temps pour corriger les conséquences que pour écrire des tests réels)
Soyez très attentif aux détails, soyez doué pour détecter les bogues tôt (gardez à l'esprit que le coût des erreurs est élevé)
Parler couramment Python
Soyez prêt à travailler avec différentes bibliothèques, concepts de programmation et versions Python
Se sentir à l'aise avec LinuxCompréhension de base de Kubernetes, CI/CDExpérience avec les bases de données relationnelles (SQL simple et ORM) et RedisConnaissance générale des microservices et des modèles de conception OOP
Capacité à apprendre rapidement par vous-même - ne pas avoir peur de poser des questions, d'expérimenter, d'échouer, d'apprendre et éventuellement de réussir",/Cartes de Visites/Mutuelle/,/big data/BI/ML,Python Engineer for the FinTech tribe,/CDD,https://cdn.filestackcontent.com/4HiEPXvGS6mLbw29Bz5X,2500,Femme,0,628c0ad8cc3e7b3b683204a1,2022-05-23T22:29:44.248Z,2022-05-23T22:29:44.248Z
0,2022-06-05,"En tant qu'ingénieur logiciel, vous pouvez utiliser vos compétences dans ces tâches :
écrire du code efficace et évolutif en python
développer des composants back-end pour améliorer la réactivité et les performances globales en python
intégrer plusieurs applications dans une solution
tester et déboguer des programmes en python
améliorer la fonctionnalité des systèmes existants
dépannage des problèmes de production
analyse des causes profondes et correctifs de code nécessaires pour améliorer la stabilité et l'expérience utilisateur
participation à l'identification, au toilettage et à la mise en œuvre d'un backlog de produit pour répondre aux demandes des clients
coopération directe avec les praticiens de PwC et les clients de PwC.",628baff7cc3e7b3b6832047a,"expérience pratique du développement avec Python 
connaissance des systèmes de gestion de bases de données relationnelles
aptitude à travailler avec des services Web (API SOAP, API REST, OData, etc.)
connaissance des frameworks de développement Python open source tels que Django, Django Rest Framework et FastAPI.",/Primes/Retraite complémentaire/,/big data/python/Software Engineer,Python Software Engineer,/CDD/CDI,https://cdn.filestackcontent.com/zrm6ClrRDSTdoYI0U5WQ,1800,Homme,0,628c14b5cc3e7b3b683204aa,2022-05-23T23:11:49.238Z,2022-05-23T23:11:49.238Z
0,2022-05-30,"Expérience de programmation en utilisant n'importe quel langage de script comme Python, Bash, etc.
Compréhension approfondie de concepts tels que CI / CD, gestion de la configuration, plates-formes cloud, contrôle de version, automatisation, surveillance, analyse et conteneurisation en python
Qualifications supplémentaires",628baff7cc3e7b3b6832047a,"Maîtrise de SaltStack et Python
A l'aise avec git, code review, Linux, bash
Solides compétences en analyse, en résolution de problèmes et en dépannage
Capacité à travailler de manière autonome et au sein d'un environnement d'équipe; auto-motivé.
Expérience dans le développement de tests unitaires et d'intégration SaltStack et python
Expérience du développement d'actions GitHub
Capacité à rester flexible lorsque les priorités changent, adaptable au changement et capable d'accepter l'ambiguïté.",/Abonnement Spotify/Restaurant d’entreprise gratuit/,/devops/python/BI/ML,Python DevOps ,/CDI,https://cdn.filestackcontent.com/H6dkWo1xRCaqLjFedRRU,1450,Autre,0,628c1d56cc3e7b3b683204b4,2022-05-23T23:48:38.125Z,2022-05-23T23:48:38.125Z
1,2022-06-04,"Nous recherchons un développeur Python senior passionné et très talentueux avec un minimum de 2 ans d'expérience pour développer des applications Web à l'aide de flask/Django. Le candidat doit être un contributeur individuel fort et faire partie de l'équipe de développement python et aime coder, réfléchit fortement à la façon dont les choses doivent être faites et est habile à persuader les autres.",628baff7cc3e7b3b6832047a,"Expérience pratique en python
Concevoir, construire et maintenir un code Python efficace, réutilisable et fiable
Expérience pratique dans des frameworks comme Flask ou Django
Devrait adhérer aux meilleures pratiques en Python/Django/Flask
Bonnes compétences en résolution de problèmes
Connaissance de l'une des bases de données. Relationnel (PostgreSQL, MySQL) ou NoSQL (MongoDB).
Tester et déboguer des applications logicielles avec des outils de framework de test Python tels que Robot, PyTest, PyUnit, etc.
Compréhension de WebServer, Load Balancer, processus / activités de déploiement, mécanismes de mise en file d'attente et tâches en arrière-plan.
Bonnes compétences en communication",/Salle de jeux video/Tickets Resto/,/python,Senior Python/Django/Flask Developer,/CDI,https://cdn.filestackcontent.com/3ZCcx213TRGyZTtUPMgi,3500,Femme,0,628c23aacc3e7b3b683204bd,2022-05-24T00:15:38.993Z,2022-05-24T00:16:54.561Z
0,2022-06-04,"Nous recherchons un développeur Python senior passionné et très talentueux avec un minimum de 2 ans d'expérience pour développer des applications Web à l'aide de flask/Django. Le candidat doit être un contributeur individuel fort et faire partie de l'équipe de développement python et aime coder, réfléchit fortement à la façon dont les choses doivent être faites et est habile à persuader les autres.",628baff7cc3e7b3b6832047a,"Expérience pratique en python
Concevoir, construire et maintenir un code Python efficace, réutilisable et fiable
Expérience pratique dans des frameworks comme Flask ou Django
Devrait adhérer aux meilleures pratiques en Python/Django/Flask
Bonnes compétences en résolution de problèmes
Connaissance de l'une des bases de données. Relationnel (PostgreSQL, MySQL) ou NoSQL (MongoDB).
Tester et déboguer des applications logicielles avec des outils de framework de test Python tels que Robot, PyTest, PyUnit, etc.
Compréhension de WebServer, Load Balancer, processus / activités de déploiement, mécanismes de mise en file d'attente et tâches en arrière-plan.
Bonnes compétences en communication",/Salle de jeux video/Tickets Resto//,/python,Senior Python/Django/Flask Developer,/CDI,https://cdn.filestackcontent.com/3ZCcx213TRGyZTtUPMgi,3500,Femme,0,628c2445cc3e7b3b683204c7,2022-05-24T00:18:13.874Z,2022-05-24T00:18:13.874Z
1,2022-06-02,"Nous recherchons un développeur Python senior pour rejoindre une équipe de développement agile créant un produit d'intelligence opérationnelle basé sur les processus métier et les accords de niveau de service.
Ils agiront en tant que PME Python, travaillant avec d'autres membres de l'équipe pour créer et définir des API, rationaliser et optimiser le code, et intégrer des bibliothèques open source pour fournir des composants Python pour les implémentations Splunk et SaaS du produit.",628baff7cc3e7b3b6832047a,"Agir en tant qu'expert en la matière Python / défenseur technique auprès de l'équipe élargie
Appliquer les meilleures pratiques pour Python au processus de développement
Rédaction de code réutilisable, testable et efficace pour fournir un back-end
Service de noyau d'informations sur le paysage système sur l'environnement Kubernetes à l'aide de python
fonctionnalités de Python 3.0 et supérieur.",/Parts de la société/Mutuelle/Prévoyance/,,Python Developer - Cloud,/CDD,https://cdn.filestackcontent.com/4DgNS927TRevdm9ozgh3,1900,Autre,0,628c28ffcc3e7b3b683204d1,2022-05-24T00:38:23.432Z,2022-05-24T00:38:57.224Z
